BHID,LANDUSE,UserInput_CN2,Area.ha.Input.std,SWATCalc_CN2,LULC,FIMP,FPervious,BHCalcCN2,QA_Does_SWATCalc_Match_BHCalc
1065,URML,61,0.19,69.23,BERM,0.275,0.725,69.23,TRUE
1066,URML,61,0.38,69.23,BERM,0.275,0.725,69.23,TRUE
1067,URML,61,1.99,69.23,BERM,0.275,0.725,69.23,TRUE
1068,URML,61,0.76,69.23,BERM,0.275,0.725,69.23,TRUE
1069,URML,61,0.09,69.23,BERM,0.275,0.725,69.23,TRUE
1070,URML,61,2.46,69.23,BERM,0.275,0.725,69.23,TRUE
1071,URML,61,0.66,69.23,BERM,0.275,0.725,69.23,TRUE
1072,URML,61,0.57,69.23,BERM,0.275,0.725,69.23,TRUE
1073,URML,61,3.03,69.23,BERM,0.275,0.725,69.23,TRUE
1074,URML,61,0.19,69.23,BERM,0.275,0.725,69.23,TRUE
1075,URML,61,0.09,69.23,BERM,0.275,0.725,69.23,TRUE
1076,URML,61,0.19,69.23,BERM,0.275,0.725,69.23,TRUE
1077,URML,61,2.46,69.23,BERM,0.275,0.725,69.23,TRUE
1078,URML,61,28.68,69.23,BERM,0.275,0.725,69.23,TRUE
1079,URML,61,7.29,69.23,BERM,0.275,0.725,69.23,TRUE
1080,URML,61,0.28,69.23,BERM,0.275,0.725,69.23,TRUE
1081,URML,61,0.09,69.23,BERM,0.275,0.725,69.23,TRUE
1082,URML,61,6.15,69.23,BERM,0.275,0.725,69.23,TRUE
1083,URML,61,0.95,69.23,BERM,0.275,0.725,69.23,TRUE
1084,URML,61,0.66,69.23,BERM,0.275,0.725,69.23,TRUE
1085,URML,61,0.85,69.23,BERM,0.275,0.725,69.23,TRUE
1086,URML,61,0.28,69.23,BERM,0.275,0.725,69.23,TRUE
1087,URML,61,1.33,69.23,BERM,0.275,0.725,69.23,TRUE
1088,URML,61,0.09,69.23,BERM,0.275,0.725,69.23,TRUE
1089,URML,61,0.09,69.23,BERM,0.275,0.725,69.23,TRUE
1090,URML,61,0.38,69.23,BERM,0.275,0.725,69.23,TRUE
